,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Quarterly, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q 
GDP In Chained (2015) Dollars,126836,123989.5,122163.7,123152.1,119592.3,115240.6,105503.7,120778.3,120839.4,120592.5,120089.9,119521.2,119022.9,119702,118949.7,118161,117251.1,115913.4,113089.9,112689.8,111945.5,109957.9,108861,107695.8,106787.8,106809.9,105493.1,104217.8,104657.1,103095.2,102161.8,101098.9,100380.5,99453.8,98773,96792.9,95919,93478.1,94392.9,93551.8,91872.1,91293.3,88981.2,89200.1,87553,84282.5,86693.4,81783,77291.7,76172.4,73327.8,70353.2,72248.2,73948.4,74425.3,76342.4,74448.5,74131,72209.6,70566.9,69557.6,66961,65714.2,64987.4,63863.9,61871.1,60391.4,58907.9,58475.2,57157,56744,55875.5,54270.4,52758.6,49921.5,50602,49966.3,50040.6,50000,48589.8,47181.2,46878.8,47929.5,49193.9,49548.7,49242.2,47666.1,46764,45276.7,44901.5,44059.2,42973.1,42225.7,41485.7,41830.6,42144.3,43258.7,43615.3,42937.1,41566.8,40335,39284,39280.3,39337.5,38043.3,37676.2,36239.2,35181.3,35324.4,34809.2,33772.9,33391.2,32391.3,31160.6,30626.7,29362.8,28725.1,27973.8,27242.4,26919.1,26456.1,26244.2,25819.2,25457.6,24863.6,24472.5,24200.6,23950,23001.2,22488.5,22231.9,21030.4,21002.3,20467.2,19936,19161.1,18947.9,18413.2,17794.4,17245.9,16833.6,16413,16156,15949.6,15797.1,15967.7,16148.5,16603.2,16413.1,16354.8,16163.5,15973.6,15484.2,15031.8,14726.4,14418.3,14052,13848,13643.5,13429.9,13259.3,13001.6,12723.4,12337.7,11983,11686.6,11432.5,11205.9,11026.3,10575.1,10384.7,10053.3,10028.3,9762.4,9396.3,9177,9103.7,8953.8,8863.5,8683.5,8496.3,8408.2,8247.1,8169.7,7948.1,7836.6,7681.5,7546
  Goods Producing Industries,35125.9,33573.6,32900.2,32976.1,30889.5,30016.3,26776.1,31032.3,29446.5,29697.4,29760.8,29379,30270.9,29936.2,29882.4,29519.1,29151.9,29145.3,27509.4,27423.2,27691.3,25795.2,26360.7,26016.5,25687.2,25677.9,25858.3,25751.8,26456.8,26489.2,26216.3,26427.4,26353.4,25774.3,25525.4,23999.3,24962.8,24572.5,25334.3,25021.3,24798.9,24250.7,24141.9,24612.8,22961.9,22248.5,25101.4,21416.1,19243,19673.8,18466.6,16531.6,17879.2,17986.3,17976.7,19835.8,18685.4,19208,18365.3,17870.2,18257.4,17234.9,16930.6,16699.6,16695.7,15734.1,15175.5,14377.7,14755.2,14177.5,14395.5,13984,13317.2,13090,12358.8,12856.2,12393.6,12822.7,13220.7,12435.4,11716.9,11655.4,12196,13046.2,14009.9,13701.4,12967.3,12606.1,12120.4,12188.6,11849.1,11856.2,11226.6,11068.4,11310.1,11316.3,11659,11495.6,11098,10496.8,10615.4,10270.7,10512.9,10724.6,10361.2,10237.9,9670.4,9251.8,9305.9,9204.1,8937.6,8686,8203.7,8003.5,7849.1,7557.4,7541.1,7238.1,7083.7,7077.8,7015.6,6925.1,6794.2,6861.2,6642.5,6481.7,6359.2,6248.6,6135.1,5978.7,5840.9,5656.5,5610.6,5569.2,5444,5237.9,5142.6,4934.5,4743.8,4584.9,4517.6,4453.2,4455.3,4294.9,4215.6,4435.6,4513.9,4922.7,4976.2,5048.9,5029,4997.4,4840.8,4630,4455.9,4358.5,4136,4170.1,4133.9,4146.3,4075.7,3996.8,3941.9,3776.4,3693.3,3600.4,3550.9,3471.9,3426.4,3262.3,3225.6,3147.9,3108,2971.3,2851.9,2771.7,2788.1,2758.7,2756.7,2695.1,2613.2,2626.6,2566.3,2555.3,2474.2,2402.7,2235.7,2207.7
    Manufacturing,29587.9,27825.7,27618,27602.4,25586,25745.4,23342.3,24831.6,22931.1,23158.7,23460.1,22986.7,23818.4,23460,23573.7,23072.6,22643.7,22745.3,21310.8,21026,21272.4,19161.3,19610.8,19417.9,18928.5,18927.9,19274.3,19475.9,20135.6,20167.3,20087.5,20355.1,20335.9,19889.4,19800,18554.3,19002.7,18857.9,19671.5,19855.1,19035.8,19028.3,18984.4,20128.4,17397.6,17332.7,19850.4,17006.8,13763.9,15147.4,13771.3,12460.1,13333,14042.1,13921.7,16465.5,14774.7,15801.1,14787.2,14702.6,14869.3,14186,13766.7,13806.3,13686.6,12936.2,12266.8,11604.5,12004.3,11414.1,11542.6,11213,10551.5,10287,9580.7,10138.8,9625.5,9981.1,10313.9,9482.8,8789.4,8600.5,9079.4,9930.7,10828.7,10610.9,9980.1,9694.5,9110.6,9194.6,8790,8625.6,8011.1,7797.1,7919.8,7895.6,8250.3,8145.2,7941.7,7474,7600.3,7425.3,7617.4,7920.1,7705.4,7740.1,7235,6978.4,6916.5,6882.2,6712.3,6451.3,6165.4,6047.4,5952.5,5762.4,5691.4,5472.8,5325.9,5337.2,5312.3,5322.5,5319.9,5400.3,5203.1,5134,4996.6,4899.4,4799,4675.2,4598,4397,4352.8,4281.3,4182.8,4000,3875.1,3611.5,3427.7,3284,3222.4,3112.9,2960.9,2792.7,2660.1,2757,2819.3,2944.6,2974.9,3015.8,3037.8,3026.8,2919.9,2831.1,2720.3,2743.6,2589.1,2693.4,2780.3,2868,2838.8,2860.1,2870.1,2744.4,2674.7,2605.4,2563.6,2504.9,2482.7,2353.9,2309.5,2255.2,2211.6,2123.4,2001.9,1913.2,1906,1856.9,1858.2,1797.1,1739.1,1721.2,1654,1671.6,1608.4,1585.1,1432.9,1439.1
    Construction,3579.9,3655.4,3614.4,3611.2,3480.7,2157.6,1647.2,4630.3,4907.2,4836.8,4891.9,4898.8,4846.9,4831.3,4877,4935.8,4948.6,4808.8,4775.1,4854.3,4887.5,5109.6,5275.4,5072.1,5236.8,5205.5,5146.9,4858.4,4888.3,4835.7,4753.8,4809.5,4562.7,4450.9,4381.5,4342.9,4374.2,4351.4,4335.8,4248.9,4097.9,3977.3,3801.1,3742.8,3785.1,3800.5,3858.4,3666,3784.6,3551.7,3450,3300.1,3142.9,3048.7,2821.6,2497.8,2467.1,2322.8,2225.7,2176.7,2004.1,1942.1,1842.9,1836.2,1808,1736.2,1744.8,1789.3,1719,1728.5,1766.2,1819,1855.4,1881.6,1856.9,1806.9,1913.2,1962.8,2041.3,2181.9,2188.7,2337.4,2405.8,2406.7,2428.3,2363.8,2281.7,2228,2296.7,2314.9,2397.9,2573,2551,2657.9,2767.8,2762.3,2759.7,2753.1,2556.4,2437.7,2403.6,2300.6,2329.7,2266.2,2086.9,1983.2,1898,1761.7,1842,1826.6,1727.6,1745.3,1539.6,1495.6,1444.8,1366.6,1385.1,1342.4,1333.9,1302.9,1258.3,1172.5,1059.3,1055.6,1012.4,937.6,960.7,946.4,934.7,902.9,867.8,883,874.8,895.2,900,882.3,893.7,938.5,967.3,955.9,948.4,969.3,1163.3,1181.5,1240.7,1321.9,1360.9,1650.1,1669.4,1681.7,1673.4,1677.5,1601.6,1473,1421.9,1317.3,1238.8,1174.1,1061.8,991.6,935.5,827.9,759.2,723.3,705.5,691.3,685.1,674.5,638.2,620.3,622.6,605.2,600.9,572.4,573.8,584.5,609.5,649.3,631.4,643.5,615.3,668.7,664.2,645.6,631.6,596.5,568.8,543.1
    Utilities,1537.3,1520.5,1512.1,1512,1490.1,1443.3,1390.8,1518.9,1501,1500.2,1487,1496.2,1476.6,1480.5,1481.7,1462.1,1489.8,1495,1464.1,1488.8,1493.1,1473.4,1484.5,1479.7,1475,1459.1,1446.7,1436.7,1434.8,1436.9,1421,1409.3,1408.6,1411.1,1390.3,1376.7,1375.2,1374.3,1366.7,1364.2,1330.8,1353.5,1356.8,1322.1,1343.9,1311.5,1310.2,1292.6,1272.6,1233.1,1209.6,1148.3,1203.2,1217.1,1186,1192.4,1197,1174.7,1159.6,1174.7,1145.2,1147.2,1125.1,1106,1084.9,1041.2,1054,1050.5,1029.9,1070.7,1058.8,996.5,1015.7,996.5,1003,1002.8,981.4,975.5,944.8,933.8,916.2,906.6,903,884.9,874.1,859.8,831.5,812.3,805.9,785.8,777.4,769.1,758.1,739.1,756.3,760.9,742.9,728.8,700.5,680.7,673.7,659.1,645.5,618.6,607,596.2,590.6,583.3,573.9,566.8,548.7,541.1,526.4,514.2,501.5,478.4,481.8,469.5,471.3,471.9,464.6,464.1,448.3,441.2,436.4,426.6,426.6,418.2,405,395.7,390.7,387.1,382.7,379.5,370.4,365.9,365.9,350.3,338.3,331.1,331.5,322.9,314.1,304,297.2,295.9,301.4,304.2,294,289.9,286.6,280.9,275.1,274.9,271.7,256.5,256.9,251.4,246.1,241.5,243.6,240.4,236.5,231.8,226.8,223.7,222,220.1,213.4,209.1,207.8,206.8,204.5,196.6,189,187.9,177.7,174.8,173.4,163.4,163.1,159.4,155.7,152.2,150.9,148,143.2,142
    Other Goods Industries,41.9,40.8,41.9,40.7,41.1,37.5,31.4,39,38.9,40.4,37.6,38.6,37.6,36.9,36.5,34.8,34.5,37.5,34.7,34.4,34.6,31.8,35.6,35.3,34,34.8,34.4,34.6,34,35.4,34.6,34.5,33.7,34.1,33.2,33.2,32.2,33,33.3,31.1,32.2,30,30.5,31.4,29.2,30.6,31,28.4,31.2,28.1,27.2,29.3,25.8,27.7,29,29.2,29.2,28.9,30.1,30.5,32,28.1,29.4,29.2,29.7,29.5,28.3,29.2,26.8,29.8,26.4,26.3,27.4,27,27,27.9,28.2,28.6,30.5,31.9,33.6,34.9,37.5,38.2,39.5,42,40.8,42.8,44.9,44.8,44.5,41.1,43.4,43.4,43.6,46.9,47.2,47.3,51.8,50.1,49.8,50.1,50.5,50.8,49.8,49.1,48.1,48.1,51,51.2,51.5,51.5,49.1,50.4,49.9,49.6,50,50.4,52.4,55.2,52.9,55.4,55.9,53.8,57.8,56.5,59.3,64.1,64.8,65.1,62.1,66.8,66.9,67.3,69.2,68.2,74.2,78.5,83.3,83.6,85.4,87.1,87.2,89.2,89.8,97.6,101.9,110.8,114.2,111.7,112.8,105.7,107.2,106.6,108.2,109.5,103,103.7,99.4,99.9,101.1,99.6,99.6,102,100.4,98.8,97.5,94,98.7,96.7,96.9,93.2,95.3,95.1,94.1,93.7,95.9,97.5,99.4,99.7,95.9,98.6,97.2,96.8,94.2,89.1,86.1,84
